,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Azərbaycan Respublikası,91542,83615,80428,99554,135685,196616,130123,100104,55408,31898,38216,66406,56957,45155,40970,35192,89442,207525,233592,295279,336791.5,287040.8,322471.0,276310.9
Dağlıq Şirvan iqtisadi rayonu,804,736,571,1443,2176,2186,1580,1032,641,3,-,60,92,22,-,-,1031,2807,1974,994,1525.0,-,-,-
Ağsu rayonu,804,736,571,1443,2176,2186,1580,1032,641,3,-,60,92,22,-,-,1031,2807,1974,994,1525.0,-,-,-
Gəncə-Daşkəsən iqtisadi rayonu,2917,3728,3420,2574,2116,3322,2431,2244,3551,1216,1677,2975,2568,1472,1093,419,4334,7005,10070,7277,9803.9,7366.5,6770.0,4212.7
Gəncə şəhəri,-,-,138,63,71,74,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goranboy rayonu,2812,3598,3282,2511,2045,3225,2360,2211,3475,1145,1617,2917,2491,1400,1033,376,3573,6958,9147,7277,9630.7,7366.5,6770.0,4212.7
Samux rayonu,105,130,-,-,-,23,-,33,76,71,60,58,77,72,60,43,761,47,923,-,173.2,-,-,-
Qarabağ iqtisadi rayonu,21867,15341,21158,26076,27668,47113,30584,21963,11367,6904,9513,17389,14565,10566,8403,6479,19466,59629,64914,87170,95764.0,81312.4,95698.9,74473.7
Ağcabədi rayonu,7761,5560,7809,8604,8645,12162,8351,6743,2775,2645,4148,7594,5521,4043,2886,2218,8852,20497,23305,32099,37992.1,33517.2,40424.4,36250.0
Ağdam rayonu,1756,1101,1845,3336,3134,5118,1942,950,311,264,98,546,342,242,147,71,833,6179,5822,7316,7099.5,6295.8,7001.5,4441.2
Bərdə rayonu,10683,6396,7336,8082,8582,17144,13623,7537,5353,2423,3281,5100,5221,3945,3237,3292,6925,22402,25373,34190,37295.6,29689.9,35953.6,27467.6
Füzuli rayonu,250,511,800,1500,1475,2900,2000,1405,39,134,162,638,398,327,155,5,522,2131,2217,1629,1796.8,1108.0,1065.5,-
Xocalı rayonu,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Xocavənd rayonu,2,-,-,-,-,-,-,37,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-
Tərtər rayonu,1403,1773,3368,4554,5832,9789,4668,5291,2889,1438,1824,3511,3066,2009,1978,893,2334,8420,8197,11936,11580.0,10701.5,11253.9,6314.9
Lənkəran-Astara iqtisadi rayonu,-,-,-,-,-,-,419,60,33,86,128,465,-,8,46,14,659,1000,1447,1311,1212.4,-,-,-
Cəlilabad rayonu,-,-,-,-,-,-,419,60,33,86,128,465,-,8,46,14,659,1000,1447,1311,1212.4,-,-,-
Mərkəzi Aran iqtisadi rayonu,13149,13663,10433,10211,10754,15297,7828,6446,4445,2235,2999,3983,4324,3366,3655,3393,8456,18644,22605,19060,22079.1,20728.5,23214.0,18328.9
Ağdaş rayonu,1127,1044,760,1024,1474,2310,1557,913,439,72,100,257,276,175,81,25,1316,3697,3756,-,-,-,-,-
Göyçay rayonu,401,438,273,181,280,484,248,47,13,51,114,36,65,4,-,-,153,-,-,-,-,-,-,-
Kürdəmir rayonu,2885,2963,2560,3045,2728,3012,1191,1022,689,88,21,266,81,26,12,10,2111,5001,6763,6497,5747.2,6048.7,5682.6,4038.9
Ucar rayonu,1640,2936,2154,1616,1280,1533,1286,928,561,477,503,511,552,391,415,16,299,2338,1793,963,496.0,-,-,-
Yevlax rayonu,2261,2079,1327,1650,1792,3432,1955,2406,1931,1500,1990,2357,2865,2637,2865,3327,3677,3417,5296,6348,8148.9,7326.3,8571.8,6755.8
Zərdab rayonu,4835,4203,3359,2695,3200,4526,1591,1130,812,47,271,556,485,133,282,15,900,4191,4997,5252,7687.0,7353.5,8959.6,7534.2
Mil-Muğan  iqtisadi rayonu,36405,33278,30160,41357,67046,89068,60401,46317,25405,14378,15619,23119,21156,18172,19482,17686,37892,74305,88232,116183,133815.2,110327.4,125707.1,111617.2
Beyləqan rayonu,4687,5333,5134,7455,8704,14665,9306,6873,3176,2054,3210,3570,2589,2804,3876,3795,7880,15726,21916,29443,31049.4,24861.6,28880.1,21606.4
İmişli rayonu,7205,7635,6724,7730,10780,18495,11653,11723,5382,2510,2775,4537,4212,3413,5456,6388,10211,14655,18576,19716,23776.8,19688.5,21139.7,18680.0
Saatlı rayonu,15166,12797,11633,18793,34349,36949,28786,20230,12274,7564,7694,11197,10302,8795,7474,5650,12088,25754,30448,41813,47365.7,38381.1,40085.0,38338.1
Sabirabad rayonu,9347,7513,6669,7379,13213,18959,10656,7491,4573,2250,1940,3815,4053,3160,2676,1853,7713,18170,17292,25211,31623.3,27396.2,35602.3,32992.7
Şərqi Zəngəzur iqtisadi rayonu,-,-,-,-,-,-,55,80,102,50,-,-,-,-,-,-,58,-,-,-,-,-,-,-
Cəbrayıl rayonu,-,-,-,-,-,-,55,80,72,-,-,-,-,-,-,-,58,-,-,-,-,-,-,-
Laçın rayonu,-,-,-,-,-,-,-,-,30,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Şirvan-Salyan iqtisadi rayonu,16400,16869,14686,17893,25925,39630,26825,21962,9864,7026,8280,18415,14252,11549,8291,7201,17546,44135,44350,63284,72591.9,67306.0,71081.0,67678.5
Biləsuvar rayonu,8056,8551,6221,6797,11699,17782,12654,12083,6056,5430,5678,13018,11415,9474,5834,6362,12062,24762,22732,30707,28333.0,20903.7,17833.0,18539.0
Hacıqabul rayonu,512,535,540,625,630,650,350,306,301,52,-,100,-,-,-,-,800,1000,1172,576,791.0,840.0,-,-
Neftçala rayonu,3599,4115,4005,6227,7851,12553,7498,5385,2012,606,1360,3113,1259,753,768,255,1978,9097,10090,16072,23042.0,22871.2,23850.0,22854.1
